ASPM : City Pair Analysis : All Flights Report,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
From 4/1/2024 To 6/28/2024 Days Omitted ; Departure=DFW : Use Flight Plan,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Departure,Arrival,Date,Departure Hour,Flight Count,% On-Time Gate Departures,% On-Time Airport Departures,% On-Time Gate Arrivals,EDCT,EDCT>0,Gate Departure Delay,Taxi Out Delay,Average Taxi Out Time,Airport Departure Delay,Airborne Delay,Taxi In Delay,Block Delay,Gate Arrival Delay
DFW,ABI,4/15/24,18,1,100,100,100,0,0,0,0,9,0,5,1.6,0,0
DFW,ABI,4/15/24,20,1,100,100,100,0,0,1,0,11,1,3,0.6,0,0
DFW,ABI,4/16/24,6,1,0,0,0,0,0,49,11.6,23,61,4,1.6,19,68
DFW,ABI,4/16/24,9,1,100,100,100,0,0,0,1.6,13,0,6,0,0,0
DFW,ABI,4/16/24,13,1,0,0,0,0,0,34,0,10,33,6,2.6,0,33
DFW,ABI,4/16/24,16,1,100,100,100,0,0,1,0,11,1,0,0,0,0
DFW,ABI,4/16/24,18,1,100,100,100,0,0,0,1.6,13,0,2,1.6,0,0
DFW,ABI,4/17/24,6,1,0,0,0,0,0,59,10.6,22,70,0,1.6,8,67
DFW,ABI,4/17/24,9,1,100,100,100,0,0,0,3.6,15,1,6,2.6,0,0
DFW,ABI,4/17/24,13,1,100,100,100,0,0,0,0,10,0,4,1.6,0,0
DFW,ABI,4/17/24,16,1,100,100,100,0,0,0,0,10,0,4,0.6,0,0
DFW,ABI,4/17/24,18,1,100,100,100,0,0,0,5.6,17,0,6,3.6,6,0
DFW,ABI,4/17/24,20,1,0,0,0,0,0,18,14.6,26,33,5,0.6,9,27
DFW,ABI,4/18/24,6,1,0,0,0,0,0,47,7.6,19,55,2,0.6,16,63
DFW,ABI,4/18/24,9,1,100,100,100,0,0,0,15.6,27,8,5,0,6,0
DFW,ABI,4/18/24,13,1,100,100,100,0,0,0,0,9,0,3,0.6,0,0
DFW,ABI,4/18/24,16,1,100,100,100,0,0,0,7.6,19,6,8,0,0,0
DFW,ABI,4/18/24,18,1,100,100,100,0,0,0,3.6,15,3,5,0.6,0,0
DFW,ABI,4/18/24,20,1,100,100,100,0,0,0,7.6,19,7,5,0,0,0
DFW,ABI,4/19/24,6,1,0,0,0,0,0,50,7.6,19,58,5,0.6,16,66
DFW,ABI,4/19/24,9,1,100,100,100,0,0,0,5.6,17,1,8,0,0,0
DFW,ABI,4/19/24,13,1,100,100,100,0,0,0,8.6,20,7,11,0.6,9,7
DFW,ABI,4/19/24,16,1,100,100,100,0,0,0,1.6,13,0,7,0.6,0,0
DFW,ABI,4/19/24,18,1,100,100,100,0,0,0,2.6,14,0,7,0.6,0,0
DFW,ABI,4/19/24,20,1,100,100,100,0,0,0,7.6,19,0,8,0.6,4,0
DFW,ABI,4/19/24,22,1,0,0,100,0,0,24,12.6,24,37,8,3.6,0,0
DFW,ABI,4/22/24,9,1,100,100,100,0,0,0,0,10,0,3,0,0,0
DFW,ABI,4/22/24,13,1,100,100,100,0,0,0,0,8,0,2,0,0,0
DFW,ABI,4/22/24,16,1,100,100,100,0,0,7,1.6,13,9,3,0,0,0
DFW,ABI,4/22/24,18,1,100,100,100,0,0,0,0,11,0,4,2.6,0,0
DFW,ABI,4/22/24,20,1,100,100,100,0,0,0,13.6,25,14,6,2.6,9,9
DFW,ABI,4/23/24,6,1,0,0,0,0,0,31,6.6,18,38,0,2.6,8,39
DFW,ABI,4/23/24,9,1,100,100,100,0,0,0,12.6,24,4,4,0,2,0
DFW,ABI,4/23/24,13,1,100,100,100,0,0,0,4.6,16,2,4,0.6,0,0
DFW,ABI,4/23/24,16,1,100,100,100,0,0,0,0.6,12,0,3,1.6,0,0
DFW,ABI,4/23/24,18,1,100,100,100,0,0,0,1.6,13,0,2,2.6,0,0
DFW,ABI,4/24/24,6,1,0,0,0,0,0,41,7.6,19,49,0,0,3,44
DFW,ABI,4/24/24,9,1,100,100,100,0,0,0,1.6,13,2,3,0,0,0
DFW,ABI,4/24/24,13,1,100,100,100,0,0,0,0,11,0,4,0,0,0
DFW,ABI,4/24/24,16,1,100,100,100,0,0,8,2.6,14,11,4,1.6,0,1
DFW,ABI,4/24/24,18,1,100,100,100,0,0,0,4.6,16,0,4,0,0,0
DFW,ABI,4/24/24,20,1,100,100,100,0,0,1,1.6,13,3,2,0,0,0
DFW,ABI,4/25/24,6,1,0,0,0,0,0,32,5.6,17,38,1,0.6,14,46
DFW,ABI,4/25/24,9,1,100,100,100,0,0,0,5.6,17,5,6,0,0,0
DFW,ABI,4/25/24,13,1,100,100,100,0,0,0,0,10,0,0,0.6,0,0
DFW,ABI,4/25/24,16,1,100,100,100,0,0,3,0,10,2,7,0.6,0,0
DFW,ABI,4/25/24,18,1,100,100,100,0,0,0,0.6,12,0,4,0,0,0
DFW,ABI,4/25/24,20,1,100,100,100,0,0,0,0.6,12,0,5,1.6,0,0
DFW,ABI,4/26/24,6,1,0,0,0,0,0,53,5.6,17,59,12,0,16,69
DFW,ABI,4/26/24,9,1,100,100,100,0,0,0,7.6,19,4,3,0,0,0
DFW,ABI,4/26/24,16,1,0,0,0,0,0,20,16.6,28,37,2,2.6,8,28
DFW,ABI,4/26/24,18,1,0,0,0,0,0,30,15.6,27,46,6,2.6,13,43
DFW,ABI,4/26/24,20,1,0,0,0,0,0,84,0.6,12,85,5,1.6,0,80
DFW,ABI,4/29/24,9,1,100,100,100,0,0,3,5.6,17,9,3,0.6,0,0
DFW,ABI,4/29/24,13,1,0,0,0,0,0,64,4.6,16,69,3,0,0,61
DFW,ABI,4/29/24,16,1,100,100,100,0,0,0,1.6,13,0,3,0,0,0
DFW,ABI,4/29/24,18,1,100,0,0,0,0,0,20.6,32,18,9,0.6,19,16
DFW,ABI,4/29/24,20,1,0,0,0,0,0,22,8.6,20,31,4,1.6,3,25
DFW,ABI,4/30/24,6,1,0,0,0,0,0,42,6.6,18,49,1,0.6,8,50
DFW,ABI,4/30/24,9,1,100,0,100,0,0,2,12.6,24,15,6,1.6,6,8
DFW,ABI,4/30/24,13,1,100,100,100,0,0,12,0,8,9,5,0,0,3
DFW,ABI,4/30/24,16,1,100,0,100,0,0,9,7.6,19,17,6,0,0,8
DFW,ABI,4/30/24,18,1,100,100,100,0,0,3,2.6,14,6,5,1.6,0,1
DFW,ABI,5/1/24,6,1,0,0,0,0,0,61,10.6,22,72,1,1.6,13,74
DFW,ABI,5/1/24,9,1,100,100,100,0,0,0,0,11,0,8,0,0,0
DFW,ABI,5/1/24,13,1,0,0,0,0,0,22,13.6,25,36,4,2.6,9,31
DFW,ABI,5/1/24,16,1,0,0,100,0,0,23,0,11,23,4,1.6,0,13
DFW,ABI,5/1/24,18,1,100,100,100,0,0,0,10.6,22,8,6,0,5,2
DFW,ABI,5/1/24,20,1,0,0,0,0,0,31,7.6,19,39,0,3.6,2,33
DFW,ABI,5/2/24,6,1,0,0,0,0,0,39,9.6,21,49,2,1.6,13,52
DFW,ABI,5/2/24,9,1,100,100,100,0,0,0,16.6,28,13,8,1.6,12,8
DFW,ABI,5/2/24,13,1,100,100,100,0,0,0,0,11,0,3,1.6,0,0
DFW,ABI,5/2/24,16,1,100,100,100,0,0,0,3.6,15,0,7,2.6,0,0
DFW,ABI,5/2/24,18,1,100,100,100,0,0,0,2.6,14,0,10,3.6,6,1
DFW,ABI,5/2/24,20,1,0,0,100,0,0,19,0,8,16,0,0,0,11
DFW,ABI,5/3/24,6,2,0,0,0,0,0,33,8.6,20,42,5.5,2.6,16,49
DFW,ABI,5/3/24,9,1,100,100,100,0,0,0,0,10,0,5,2.6,0,0
DFW,ABI,5/3/24,13,1,100,100,100,0,0,0,0,11,0,3,2.6,0,0
DFW,ABI,5/3/24,16,1,100,100,0,0,0,0,1.6,13,0,204,5.6,196,192
DFW,ABI,5/3/24,18,1,0,0,0,0,0,30,7.6,19,38,11,17.6,48,78
DFW,ABI,5/3/24,20,1,100,100,100,0,0,0,7.6,19,5,0,1.6,16,13
DFW,ABI,5/6/24,8,1,100,100,100,0,0,0,14.6,26,6,7,0,0,0
DFW,ABI,5/6/24,13,1,100,100,100,0,0,4,2.6,14,7,5,0.6,0,2
DFW,ABI,5/6/24,16,1,0,0,0,0,0,45,2.6,14,48,0,0,0,36
DFW,ABI,5/6/24,18,1,100,0,0,0,0,10,13.6,25,24,5,0.6,12,22
DFW,ABI,5/6/24,20,1,100,100,100,0,0,0,14.6,26,8,0,4.6,17,10
DFW,ABI,5/7/24,6,2,0,0,0,0,0,28,6.1,17.5,34.5,1.5,0.6,7.5,36
DFW,ABI,5/7/24,8,1,100,0,100,0,0,0,22.6,34,16,2,0,0,0
DFW,ABI,5/7/24,13,1,100,100,100,0,0,0,5.6,17,0,3,0,0,0
DFW,ABI,5/7/24,16,1,100,100,100,0,0,0,1.6,13,0,5,0.6,0,0
DFW,ABI,5/7/24,18,1,100,100,100,0,0,0,7.6,19,2,3,0.6,4,0
DFW,ABI,5/7/24,22,1,100,100,100,0,0,0,3.6,15,0,7,2.6,0,0
DFW,ABI,5/8/24,6,1,0,0,0,0,0,47,7.6,19,55,10,0.6,23,70
DFW,ABI,5/8/24,8,1,0,0,0,0,0,56,0,11,56,2,0,0,31
DFW,ABI,5/8/24,16,1,100,100,100,0,0,0,3.6,15,3,0,0.6,0,0
DFW,ABI,5/8/24,18,1,100,100,100,0,0,0,1.6,13,0,0,0,0,0
DFW,ABI,5/8/24,20,1,0,0,0,0,0,27,37.6,49,65,3,0.6,31,58
DFW,ABI,5/9/24,6,2,0,0,0,0,0,37.5,12.6,24,50.5,0,0.6,9.5,47
DFW,ABI,5/9/24,8,1,100,100,100,0,0,0,12.6,24,9,4,0.6,0,0
DFW,ABI,5/9/24,13,1,100,100,100,0,0,0,4.6,16,0,8,0,3,0
DFW,ABI,5/9/24,16,1,0,0,0,0,0,56,1.6,13,58,8,0,0,50
DFW,ABI,5/9/24,18,1,0,0,0,0,0,51,2.6,14,54,7,0,0,51
DFW,ABI,5/9/24,20,1,0,0,0,0,0,27,7.6,19,35,6,7.6,11,38
DFW,ABI,5/10/24,6,1,0,0,0,0,0,49,7.6,19,57,0,0,0,49
DFW,ABI,5/10/24,8,1,100,100,100,0,0,0,13.6,25,7,3,0,0,0
DFW,ABI,5/10/24,13,1,0,0,0,0,0,16,10.6,22,27,3,0,5,21
DFW,ABI,5/10/24,16,1,100,100,100,0,0,0,4.6,16,4,6,4.6,0,0
DFW,ABI,5/10/24,18,1,0,0,0,0,0,36,2.6,14,39,5,2.6,1,37
DFW,ABI,5/10/24,20,1,100,100,100,0,0,0,5.6,17,3,4,0.6,0,0
DFW,ABI,5/10/24,21,1,100,100,100,0,0,0,0,11,0,4,1.6,6,0
DFW,ABI,5/13/24,8,1,0,0,100,0,0,24,0.6,12,25,6,0.6,0,5
DFW,ABI,5/13/24,13,1,100,100,100,0,0,0,2.6,14,0,2,0.6,0,0
DFW,ABI,5/13/24,16,1,100,100,100,0,0,10,1.6,13,12,4,0,0,0
DFW,ABI,5/13/24,18,1,0,0,0,0,0,15,10.6,22,26,7,0,8,23
DFW,ABI,5/13/24,20,1,100,100,100,0,0,0,5.6,17,3,5,3.6,2,0
DFW,ABI,5/14/24,6,1,0,0,0,0,0,34,4.6,16,39,0,1.6,0,34
DFW,ABI,5/14/24,8,1,0,0,0,0,0,129,0,11,129,4,15.6,0,120
DFW,ABI,5/14/24,13,1,100,100,100,0,0,7,0.6,12,8,0,1.6,0,2
DFW,ABI,5/14/24,16,1,0,0,100,0,0,19,2.6,14,22,7,0,0,12
DFW,ABI,5/14/24,18,1,100,100,100,0,0,0,12.6,24,11,4,0,7,5
DFW,ABI,5/15/24,6,1,0,0,0,0,0,29,3.6,15,33,2,0.6,6,36
DFW,ABI,5/15/24,8,1,0,0,100,0,0,17,6.6,18,24,0,1.6,0,3
DFW,ABI,5/15/24,16,1,100,100,100,0,0,0,3.6,15,1,0,0,0,0
DFW,ABI,5/15/24,18,1,0,0,0,0,0,23,15.6,27,39,0,1.6,15,38
DFW,ABI,5/15/24,20,1,100,100,100,0,0,0,2.6,14,0,0,1.6,0,0
DFW,ABI,5/16/24,6,1,0,0,0,0,0,21,4.6,16,26,3,1.6,8,29
DFW,ABI,5/16/24,8,1,0,0,0,0,0,59,59.6,71,119,0,0,47,106
DFW,ABI,5/16/24,16,1,100,100,100,0,0,4,5.6,17,10,3,0,0,0
DFW,ABI,5/16/24,18,1,0,0,0,0,0,42,3.6,15,46,1,0.6,2,44
DFW,ABI,5/16/24,20,1,100,100,100,0,0,4,9.6,21,14,0,0.6,6,10
DFW,ABI,5/17/24,6,1,0,0,0,0,0,29,4.6,16,34,0,0.6,10,39
DFW,ABI,5/17/24,8,1,0,0,100,0,0,22,8.6,20,31,0,0,0,6
DFW,ABI,5/17/24,13,2,50,50,50,0,0,22.5,2.1,13.5,25,0,0.3,0,19.5
DFW,ABI,5/17/24,16,1,100,100,100,0,0,3,3.6,15,7,0,3.6,0,0
DFW,ABI,5/17/24,18,1,0,0,0,0,0,62,5.6,17,68,0,1.6,1,63
DFW,ABI,5/17/24,20,1,0,0,0,0,0,74,32.6,44,107,0,2.6,28,102
DFW,ABI,5/20/24,0,1,100,100,100,0,0,6,2.6,14,9,0,0.6,0,0
DFW,ABI,5/20/24,8,1,100,0,100,0,0,0,27.6,39,20,2,0,5,0
DFW,ABI,5/20/24,13,1,0,0,0,0,0,40,4.6,16,45,1,0,0,39
DFW,ABI,5/20/24,16,1,100,100,100,0,0,0,2.6,14,3,0,0,0,0
DFW,ABI,5/20/24,18,1,100,100,100,0,0,2,5.6,17,8,0,0.6,0,2
DFW,ABI,5/20/24,20,1,100,100,100,0,0,0,4.6,16,1,0,0.6,0,0
DFW,ABI,5/21/24,6,2,0,0,0,0,0,29,4.6,16,34,2.5,0.6,8.5,37.5
DFW,ABI,5/21/24,8,1,0,0,0,0,0,61,5.6,17,67,0,2.6,0,46
DFW,ABI,5/21/24,13,1,0,0,0,0,0,16,9.6,21,26,0,0.6,8,24
DFW,ABI,5/21/24,16,1,100,100,100,0,0,0,2.6,14,0,0,0,0,0
DFW,ABI,5/21/24,18,1,100,100,100,0,0,0,0.6,12,0,0,0.6,0,0
DFW,ABI,5/22/24,6,1,100,100,100,0,0,0,8.6,20,9,0,0.6,5,7
DFW,ABI,5/22/24,8,1,100,0,100,0,0,11,10.6,22,22,0,0.6,0,0
DFW,ABI,5/22/24,16,1,100,100,100,0,0,0,11.6,23,8,0,0.6,4,0
DFW,ABI,5/22/24,19,1,0,0,100,0,0,87,18.6,30,106,4,2.6,0,0
DFW,ABI,5/22/24,20,1,100,100,100,0,0,2,2.6,14,5,5,0,0,2
DFW,ABI,5/23/24,6,1,100,0,0,0,0,0,22.6,34,23,0,1.6,13,25
